Kenteken,Brandstof omschrijving,Datum eerste afgifte Nederland,cumhelp,Cumulative
VDS22V,Diesel,2020-01-02,1,373
VDR89K,Diesel,2020-01-02,1,374
G775LG,Diesel,2020-01-02,1,375
VDV74K,Diesel,2020-01-02,1,376
50BPD9,Diesel,2020-01-02,1,377
VDT72J,Diesel,2020-01-02,1,378
H633DJ,Diesel,2020-01-02,1,379
H366BZ,Diesel,2020-01-02,1,380
G341ZT,Diesel,2020-01-02,1,381
82BNZ6,Diesel,2020-01-02,1,382
83BPB6,Diesel,2020-01-02,1,383
89BNX9,Diesel,2020-01-02,1,384
39BNZ9,Diesel,2020-01-02,1,385
17BPB2,Diesel,2020-01-02,1,386
VBS10B,Diesel,2020-01-02,1,387
ZG432T,Diesel,2020-01-02,1,388
71BPB8,Diesel,2020-01-02,1,389
43BPD9,Diesel,2020-01-02,1,390
VDV71Z,Diesel,2020-01-02,1,391
VDT64J,Diesel,2020-01-02,1,392
H936FF,Diesel,2020-01-02,1,393
VDP84B,Diesel,2020-01-02,1,394
VDS15R,Diesel,2020-01-02,1,395
G856ZG,Diesel,2020-01-02,1,396
VDT25K,Diesel,2020-01-02,1,397
VDN73F,Diesel,2020-01-02,1,398
VDV94N,Diesel,2020-01-02,1,399
VDP21D,Diesel,2020-01-02,1,400
G031ZN,Diesel,2020-01-02,1,401
G979XZ,Diesel,2020-01-02,1,402
VDR48T,Diesel,2020-01-02,1,403
H868DV,Diesel,2020-01-02,1,404
VDS21X,Diesel,2020-01-02,1,405
VDV54R,Diesel,2020-01-02,1,406
H310BL,Diesel,2020-01-02,1,407
VDK26L,Diesel,2020-01-02,1,408
VDV17G,Diesel,2020-01-02,1,409
G424ZP,Diesel,2020-01-02,1,410
H779BH,Diesel,2020-01-02,1,411
H126BN,Diesel,2020-01-02,1,412
VDV40Z,Diesel,2020-01-02,1,413
VDV41P,Diesel,2020-01-02,1,414
VDS22X,Diesel,2020-01-02,1,415
VDT79V,Diesel,2020-01-02,1,416
G835ZB,Diesel,2020-01-02,1,417
VDJ24R,Diesel,2020-01-02,1,418
H566DT,Diesel,2020-01-02,1,419
VDV95G,Diesel,2020-01-02,1,420
VDS38N,Diesel,2020-01-02,1,421
H600BZ,Diesel,2020-01-02,1,422
G470TK,Diesel,2020-01-02,1,423
G459TD,Diesel,2020-01-02,1,424
VDP42Z,Diesel,2020-01-02,1,425
G822ZB,Diesel,2020-01-02,1,426
G107ZR,Diesel,2020-01-02,1,427
VDV40P,Diesel,2020-01-02,1,428
VDV64Z,Diesel,2020-01-02,1,429
68BPD9,Diesel,2020-01-02,1,430
VDS98R,Diesel,2020-01-02,1,431
G507XZ,Diesel,2020-01-02,1,432
VDN09K,Diesel,2020-01-02,1,433
VDJ90V,Diesel,2020-01-02,1,434
H928FF,Diesel,2020-01-02,1,435
82BNX2,Diesel,2020-01-02,1,436
VDV06S,Diesel,2020-01-02,1,437
36BPB5,Diesel,2020-01-02,1,438
V392XR,Diesel,2020-01-02,1,439
85BPB1,Diesel,2020-01-02,1,440
25BPD9,Diesel,2020-01-02,1,441
VDX31R,Diesel,2020-01-02,1,442
G082XS,Diesel,2020-01-02,1,443
VDX27J,Diesel,2020-01-02,1,444
VDB78R,Diesel,2020-01-02,1,445
VDP88P,Diesel,2020-01-02,1,446
96BNZ3,Diesel,2020-01-02,1,447
VDR40V,Diesel,2020-01-02,1,448
VDH59P,Diesel,2020-01-02,1,449
VDR10Z,Diesel,2020-01-02,1,450
G198XS,Diesel,2020-01-02,1,451
H628BT,Diesel,2020-01-02,1,452
VDB43F,Diesel,2020-01-02,1,453
VDL33S,Diesel,2020-01-02,1,454
G065ZL,Diesel,2020-01-02,1,455
VDG39N,Diesel,2020-01-02,1,456
VDT44V,Diesel,2020-01-02,1,457
VDR86Z,Diesel,2020-01-02,1,458
H476BL,Diesel,2020-01-02,1,459
G216XS,Diesel,2020-01-02,1,460
VDS40B,Diesel,2020-01-02,1,461
G355ZH,Diesel,2020-01-02,1,462
G153ZK,Diesel,2020-01-02,1,463
VDS95R,Diesel,2020-01-02,1,464
VDR38J,Diesel,2020-01-02,1,465
VDN40P,Diesel,2020-01-02,1,466
VDV55J,Diesel,2020-01-02,1,467
G887XZ,Diesel,2020-01-02,1,468
32BNX7,Diesel,2020-01-02,1,469
VDR59H,Diesel,2020-01-02,1,470
VDN35R,Diesel,2020-01-02,1,471
62BNZ4,Diesel,2020-01-02,1,472
VDK65Z,Diesel,2020-01-02,1,473
H122FG,Diesel,2020-01-02,1,474
H565DJ,Diesel,2020-01-02,1,475
VDS16V,Diesel,2020-01-02,1,476
H947FF,Diesel,2020-01-02,1,477
V691VZ,Diesel,2020-01-02,1,478
VDX86N,Diesel,2020-01-02,1,479
G197XZ,Diesel,2020-01-02,1,480
G294XV,Diesel,2020-01-02,1,481
23BPD9,Diesel,2020-01-02,1,482
VDS87Z,Diesel,2020-01-02,1,483
11BPD3,Diesel,2020-01-02,1,484
V165RD,Diesel,2020-01-02,1,485
VDX19J,Diesel,2020-01-02,1,486
G940RN,Diesel,2020-01-02,1,487
78BPD4,Diesel,2020-01-02,1,488
G863XV,Diesel,2020-01-02,1,489
H043FG,Diesel,2020-01-02,1,490
VDT94G,Diesel,2020-01-02,1,491
VDT81H,Diesel,2020-01-02,1,492
V001ZR,Diesel,2020-01-02,1,493
VDR90D,Diesel,2020-01-02,1,494
VDV72T,Diesel,2020-01-02,1,495
86BPB6,Diesel,2020-01-02,1,496
99BPD7,Diesel,2020-01-02,1,497
67BPB7,Diesel,2020-01-02,1,498
VDG21F,Diesel,2020-01-02,1,499
36BPD9,Diesel,2020-01-02,1,500
47BPD9,Diesel,2020-01-02,1,501
VDS81Z,Diesel,2020-01-02,1,502
VBT68T,Diesel,2020-01-02,1,503
VDP42S,Diesel,2020-01-02,1,504
21BNZ8,Diesel,2020-01-02,1,505
ZG254T,Diesel,2020-01-02,1,506
VDX22L,Diesel,2020-01-02,1,507
97BPB8,Diesel,2020-01-02,1,508
VDV29V,Diesel,2020-01-02,1,509
V773ZL,Diesel,2020-01-02,1,510
51BPD9,Diesel,2020-01-02,1,511
H871BS,Diesel,2020-01-02,1,512
VBR06T,Diesel,2020-01-02,1,513
VDV99G,Diesel,2020-01-02,1,514
19BNZ2,Diesel,2020-01-02,1,515
VDL91X,Diesel,2020-01-02,1,516
G454ZK,Diesel,2020-01-02,1,517
VBS09N,Diesel,2020-01-02,1,518
41BPB8,Diesel,2020-01-02,1,519
G503TT,Diesel,2020-01-02,1,520
ZH478H,Diesel,2020-01-02,1,521
47BPD6,Diesel,2020-01-02,1,522
H399BB,Diesel,2020-01-02,1,523
96BPD2,Diesel,2020-01-02,1,524
VDV64F,Diesel,2020-01-02,1,525
VDX42R,Diesel,2020-01-02,1,526
V772XP,Diesel,2020-01-02,1,527
VDJ22D,Diesel,2020-01-02,1,528
59BPD2,Diesel,2020-01-02,1,529
27BPD9,Diesel,2020-01-02,1,530
VDV36H,Diesel,2020-01-02,1,531
50BNT5,Diesel,2020-01-02,1,532
VDX46F,Diesel,2020-01-02,1,533
ZS675K,Diesel,2020-01-02,1,534
VDP83P,Diesel,2020-01-02,1,535
VBR96S,Diesel,2020-01-02,1,536
VDV87J,Diesel,2020-01-02,1,537
VDX26G,Diesel,2020-01-02,1,538
40BNZ1,Diesel,2020-01-02,1,539
53BPD9,Diesel,2020-01-02,1,540
VDX20B,Diesel,2020-01-02,1,541
VDX11B,Diesel,2020-01-02,1,542
54BNL6,Diesel,2020-01-02,1,543
98BPB5,Diesel,2020-01-02,1,544
83BPB7,Diesel,2020-01-02,1,545
VDX30R,Diesel,2020-01-02,1,546
VDB61G,Diesel,2020-01-02,1,547
52BNZ3,Diesel,2020-01-02,1,548
VDX36R,Diesel,2020-01-02,1,549
VDV68K,Diesel,2020-01-02,1,550
08BNT5,Diesel,2020-01-02,1,551
VDR48X,Diesel,2020-01-02,1,552
G172ZJ,Diesel,2020-01-02,1,553
18BNV8,Diesel,2020-01-02,1,554
H016FD,Diesel,2020-01-02,1,555
85BNX8,Diesel,2020-01-02,1,556
VDN72V,Diesel,2020-01-02,1,557
VDV94V,Diesel,2020-01-02,1,558
VDK67T,Diesel,2020-01-02,1,559
